n,null_pct,n_unique,dtype,unhashable,zero_pct,min,max,mean,std,degenerate,file,column
1038974,0.0,4,int64,False,99.966,0.0,4.0,0.0010741366001459133,0.06265618279029102,NEAR_CONSTANT(0.9997),meta_train.parquet,lovd_variant_class
1038974,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,esm2_delta_norm
1038974,0.0,9608,float64,False,5.527,0.0,1.0,0.26764408396606815,0.42909471100626784,,meta_train.parquet,pli_score
1038974,0.0,1866,float64,False,0.0,0.04,1.987,0.7663128134101527,0.3696193433322472,,meta_train.parquet,loeuf
1038974,0.0,10736,float64,False,5.436,-13.699,7.0334,0.03969911898111888,2.02494750099908,,meta_train.parquet,syn_z
1038974,0.0,10576,float64,False,5.435,-15.697,16.078,1.616013558193978,2.6533911859190846,,meta_train.parquet,mis_z
146329,0.0,146329,object,False,,,,,,,meta_val.parquet,variant_id
146329,0.0,1,object,False,,,,,,CONSTANT,meta_val.parquet,source_db
146329,0.0,24,object,False,,,,,,,meta_val.parquet,chrom
146329,0.0,132082,int64,False,0.0,3308.0,248180689.0,65633855.24766109,51298035.40668146,,meta_val.parquet,pos
146329,0.0,1770,object,False,,,,,,,meta_val.parquet,gene_symbol
146329,100.0,0,object,False,,,,,,ALL_NULL,meta_val.parquet,transcript_id
146329,0.0,4,object,False,,,,,,,meta_val.parquet,pathogenicity
146329,32.503,62001,float64,False,4.617,0.0,1.0,0.019206993774694477,0.09936730454155081,,meta_val.parquet,allele_freq
146329,0.0,6,object,False,,,,,,,meta_val.parquet,clinical_sig
146329,100.0,0,object,False,,,,,,ALL_NULL,meta_val.parquet,protein_change
146329,100.0,0,object,False,,,,,,ALL_NULL,meta_val.parquet,fasta_seq
146329,0.0,146329,object,False,,,,,,,meta_val.parquet,source_id
146329,0.0,114248,object,True,,,,,,,meta_val.parquet,metadata
146329,0.0,359,object,False,,,,,,,meta_val.parquet,ref
146329,0.0,1869,object,False,,,,,,,meta_val.parquet,alt
146329,0.583,17,object,False,,,,,,,meta_val.parquet,consequence
146329,0.0,3,object,False,,,,,,,meta_val.parquet,ReviewStatus
